refseq id	virus family	virus tax id	virus name	virus host	host name	virus genus	virus genome type
NC_001846	Coronaviridae	11138	Murine hepatitis virus	Mammalia	Mus musculus	Betacoronavirus	ssRNA(+)
NC_026798	Rhabdoviridae	1587515	Black grass varicosavirus-like virus	Viridiplantae	Alopecurus myosuroides	Varicosavirus	ssRNA(-)
NC_055213	Phasmaviridae	2010276	Culex phasma-like virus	Insecta	Culex quinquefasciatus	Orthophasmavirus	ssRNA(-)
NC_001411	Nodaviridae	12285	Black beetle virus	Insecta	Heteronychus arator	Alphanodavirus	ssRNA(+)
NC_016517	Birnaviridae	1127767	Espirito Santo virus	Insecta	Aedes albopictus	unclassified Birnaviridaevirus	dsRNA
NC_006964	Secoviridae	28351	Strawberry latent ringspot virus	Viridiplantae	Fragaria x ananassa	Stralarivirus	ssRNA(+)
NC_012134	Bromoviridae	578305	Gayfeather mild mottle virus	Viridiplantae	Liatris spicata	Cucumovirus	ssRNA(+)
NC_043447	Secoviridae	2340870	Potato virus B	Viridiplantae	Solanum tuberosum	Nepovirus	ssRNA(+)
NC_018402	Bromoviridae	1195163	Amazon lily mild mottle virus	Viridiplantae	Eucharis x grandiflora	Anulavirus	ssRNA(+)
NC_022798	Secoviridae	257464	Potato black ringspot virus	Viridiplantae	Solanum tuberosum	Nepovirus	ssRNA(+)
NC_013075	Secoviridae	661101	Tomato chocolate spot virus	Viridiplantae	Solanum lycopersicum	Torradovirus	ssRNA(+)
NC_003541	Bromoviridae	12303	Cowpea chlorotic mottle virus	Viridiplantae	Glycine max	Bromovirus	ssRNA(+)
NC_003738	Secoviridae	12262	Red clover mottle virus	Viridiplantae	Trifolium pratense	Comovirus	ssRNA(+)
NC_022004	Secoviridae	649890	Broad bean true mosaic virus	Viridiplantae	Vicia faba	Comovirus	ssRNA(+)
AF162711	Picornaviridae	41846	Echovirus E30	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_035191	Coronaviridae	1508228	Wencheng Sm shrew coronavirus	Mammalia	Suncus murinus	Alphacoronavirus	ssRNA(+)
NC_055393	Phasmaviridae	2546222	Anopheles triannulatus orthophasmavirus	Insecta	Anopheles triannulatus	Orthophasmavirus	ssRNA(-)
NC_038759	Secoviridae	1131416	Cucurbit mild mosaic virus	Viridiplantae	Cucurbita	Fabavirus	ssRNA(+)
NC_040435	Bromoviridae	2419940	Tea plant line pattern virus	Viridiplantae	Camellia sinensis	Ilarvirus	ssRNA(+)
NC_003549	Secoviridae	12264	Cowpea mosaic virus	Viridiplantae	Cajanus cajan	Comovirus	ssRNA(+)
NC_003799	Secoviridae	12263	Squash mosaic virus	Viridiplantae	Cucumis melo	Comovirus	ssRNA(+)
NC_002349	Potyviridae	75746	Wheat yellow mosaic virus	Viridiplantae	Triticum aestivum	Bymovirus	ssRNA(+)
NC_006056	Secoviridae	12271	Arabis mosaic virus	Viridiplantae	Humulus lupulus	Nepovirus	ssRNA(+)
NC_004120	Bromoviridae	188141	Spring beauty latent virus	Viridiplantae	Arabidopsis thaliana	Bromovirus	ssRNA(+)
HM185056	Picornaviridae	12062	Echovirus E6	Mammalia	Homo sapiens	Enterovirus	ssRNA(+)
NC_039077	Secoviridae	1855510	Prunus virus F	Viridiplantae	Prunus avium	Fabavirus	ssRNA(+)
